"range","codePoint","character","decimalCodePoint"
"Hiragana","U+3040","぀","12352"
"Hiragana","U+3097","゗","12439"
"Hiragana","U+3098","゘","12440"
"Enclosed CJK Letters and Months","U+321F","㈟","12831"
"Arrows","U+21F1","⇱","8689"
"Arrows","U+21F2","⇲","8690"
"Arrows","U+21F4","⇴","8692"
"Arrows","U+21F6","⇶","8694"
"Arrows","U+21F7","⇷","8695"
"Arrows","U+21F8","⇸","8696"
"Arrows","U+21F9","⇹","8697"
"Arrows","U+21FA","⇺","8698"
"Arrows","U+21FB","⇻","8699"
"Arrows","U+21FC","⇼","8700"
"Arrows","U+21FD","⇽","8701"
"Arrows","U+21FE","⇾","8702"
"Arrows","U+21FF","⇿","8703"
"Mathematical Operators","U+22F2","⋲","8946"
"Mathematical Operators","U+22F3","⋳","8947"
"Mathematical Operators","U+22F4","⋴","8948"
"Mathematical Operators","U+22F5","⋵","8949"
"Mathematical Operators","U+22F6","⋶","8950"
"Mathematical Operators","U+22F7","⋷","8951"
"Mathematical Operators","U+22F8","⋸","8952"
"Mathematical Operators","U+22F9","⋹","8953"
"Mathematical Operators","U+22FA","⋺","8954"
"Mathematical Operators","U+22FB","⋻","8955"
"Mathematical Operators","U+22FC","⋼","8956"
"Mathematical Operators","U+22FD","⋽","8957"
"Mathematical Operators","U+22FE","⋾","8958"
"Mathematical Operators","U+22FF","⋿","8959"
"Miscellaneous Technical","U+2319","⌙","8985"
"Miscellaneous Technical","U+2336","⌶","9014"
"Miscellaneous Technical","U+2337","⌷","9015"
"Miscellaneous Technical","U+2338","⌸","9016"
"Miscellaneous Technical","U+2339","⌹","9017"
"Miscellaneous Technical","U+233A","⌺","9018"
"Miscellaneous Technical","U+233B","⌻","9019"
"Miscellaneous Technical","U+233C","⌼","9020"
"Miscellaneous Technical","U+233D","⌽","9021"
"Miscellaneous Technical","U+233E","⌾","9022"
"Miscellaneous Technical","U+233F","⌿","9023"
"Miscellaneous Technical","U+2340","⍀","9024"
"Miscellaneous Technical","U+2341","⍁","9025"
"Miscellaneous Technical","U+2342","⍂","9026"
"Miscellaneous Technical","U+2343","⍃","9027"
"Miscellaneous Technical","U+2344","⍄","9028"
"Miscellaneous Technical","U+2345","⍅","9029"
"Miscellaneous Technical","U+2346","⍆","9030"
"Miscellaneous Technical","U+2347","⍇","9031"
"Miscellaneous Technical","U+2348","⍈","9032"
"Miscellaneous Technical","U+2349","⍉","9033"
"Miscellaneous Technical","U+234A","⍊","9034"
"Miscellaneous Technical","U+234B","⍋","9035"
"Miscellaneous Technical","U+234C","⍌","9036"
"Miscellaneous Technical","U+234D","⍍","9037"
"Miscellaneous Technical","U+234E","⍎","9038"
"Miscellaneous Technical","U+234F","⍏","9039"
"Miscellaneous Technical","U+2350","⍐","9040"
"Miscellaneous Technical","U+2351","⍑","9041"
"Miscellaneous Technical","U+2352","⍒","9042"
"Miscellaneous Technical","U+2353","⍓","9043"
"Miscellaneous Technical","U+2354","⍔","9044"
"Miscellaneous Technical","U+2355","⍕","9045"
"Miscellaneous Technical","U+2356","⍖","9046"
"Miscellaneous Technical","U+2357","⍗","9047"
"Miscellaneous Technical","U+2358","⍘","9048"
"Miscellaneous Technical","U+2359","⍙","9049"
"Miscellaneous Technical","U+235A","⍚","9050"
"Miscellaneous Technical","U+235B","⍛","9051"
"Miscellaneous Technical","U+235C","⍜","9052"
"Miscellaneous Technical","U+235D","⍝","9053"
"Miscellaneous Technical","U+235E","⍞","9054"
"Miscellaneous Technical","U+235F","⍟","9055"
"Miscellaneous Technical","U+2360","⍠","9056"
"Miscellaneous Technical","U+2361","⍡","9057"
"Miscellaneous Technical","U+2362","⍢","9058"
"Miscellaneous Technical","U+2363","⍣","9059"
"Miscellaneous Technical","U+2364","⍤","9060"
"Miscellaneous Technical","U+2365","⍥","9061"
"Miscellaneous Technical","U+2366","⍦","9062"
"Miscellaneous Technical","U+2367","⍧","9063"
"Miscellaneous Technical","U+2368","⍨","9064"
"Miscellaneous Technical","U+2369","⍩","9065"
"Miscellaneous Technical","U+236A","⍪","9066"
"Miscellaneous Technical","U+236B","⍫","9067"
"Miscellaneous Technical","U+236C","⍬","9068"
"Miscellaneous Technical","U+236D","⍭","9069"
"Miscellaneous Technical","U+236E","⍮","9070"
"Miscellaneous Technical","U+236F","⍯","9071"
"Miscellaneous Technical","U+2370","⍰","9072"
"Miscellaneous Technical","U+2371","⍱","9073"
"Miscellaneous Technical","U+2372","⍲","9074"
"Miscellaneous Technical","U+2373","⍳","9075"
"Miscellaneous Technical","U+2374","⍴","9076"
"Miscellaneous Technical","U+2375","⍵","9077"
"Miscellaneous Technical","U+2376","⍶","9078"
"Miscellaneous Technical","U+2377","⍷","9079"
"Miscellaneous Technical","U+2378","⍸","9080"
