"range","total","supported","missing","supportRate"
"Basic Latin","95","95","0","100.0%"
"Latin-1 Supplement","96","96","0","100.0%"
"Hiragana","96","93","3","96.9%"
"Katakana","96","96","0","100.0%"
"Katakana Phonetic Extensions","16","16","0","100.0%"
"CJK Symbols and Punctuation","64","64","0","100.0%"
"Enclosed Alphanumerics","160","160","0","100.0%"
"Enclosed CJK Letters and Months","256","255","1","99.6%"
"Arrows","112","99","13","88.4%"
"Mathematical Operators","256","242","14","94.5%"
"Miscellaneous Technical","256","163","93","63.7%"
"Box Drawing","128","128","0","100.0%"
"Block Elements","32","32","0","100.0%"
"Geometric Shapes","96","96","0","100.0%"
"Miscellaneous Symbols","256","256","0","100.0%"
"Dingbats","192","180","12","93.8%"
"CJK Unified Ideographs","20992","20976","16","99.9%"
"CJK Extension A","6592","6582","10","99.8%"
"CJK Compatibility Ideographs","512","366","146","71.5%"
"CJK Extension B","42720","26967","15753","63.1%"
"CJK Extension C","4160","434","3726","10.4%"
"CJK Extension D","224","131","93","58.5%"
"CJK Extension E","5776","611","5165","10.6%"
"CJK Extension F","7488","1646","5842","22.0%"
"Misc Symbols and Pictographs","768","296","472","38.5%"
"Emoticons","80","1","79","1.3%"
"Supplemental Symbols and Pictographs","256","2","254","0.8%"
"Variation Selectors","16","1","15","6.3%"
"Variation Selectors Supplement","240","0","240","0.0%"
